HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
Anonymized,Anonymized,Survey on new programming language for battery-less embedded devices,"In this online study we will ask you to assess the usability of a new programming language for intermittently-powered embedded devices. These tiny devices are powered from ambient energy sources like solar energy, WiFi transmissions, or vibrations.","survey, programming language, embedded system, energy harvesting, low power, intermittent",$3.00,Mon Jan 07 07:16:39 PST 2019,50,Anonymized,1800,432000,Sat Jan 12 07:16:39 PST 2019,,,Anonymized,Anonymized,Submitted,Mon Jan 07 07:17:54 PST 2019,Mon Jan 07 07:42:11 PST 2019,Sat Jan 12 07:42:11 PST 2019,,,,1457,0% (0/0),0% (0/0),0% (0/0),7100000,,
Anonymized,Anonymized,Survey on new programming language for battery-less embedded devices,"In this online study we will ask you to assess the usability of a new programming language for intermittently-powered embedded devices. These tiny devices are powered from ambient energy sources like solar energy, WiFi transmissions, or vibrations.","survey, programming language, embedded system, energy harvesting, low power, intermittent",$3.00,Mon Jan 07 07:16:39 PST 2019,50,Anonymized,1800,432000,Sat Jan 12 07:16:39 PST 2019,,,Anonymized,Anonymized,Submitted,Mon Jan 07 08:45:56 PST 2019,Mon Jan 07 09:04:19 PST 2019,Sat Jan 12 09:04:19 PST 2019,,,,1103,0% (0/0),0% (0/0),0% (0/0),7100016,,
Anonymized,Anonymized,Survey on new programming language for battery-less embedded devices,"In this online study we will ask you to assess the usability of a new programming language for intermittently-powered embedded devices. These tiny devices are powered from ambient energy sources like solar energy, WiFi transmissions, or vibrations.","survey, programming language, embedded system, energy harvesting, low power, intermittent",$3.00,Mon Jan 07 07:16:39 PST 2019,50,Anonymized,1800,432000,Sat Jan 12 07:16:39 PST 2019,,,Anonymized,Anonymized,Submitted,Mon Jan 07 11:30:14 PST 2019,Mon Jan 07 11:59:21 PST 2019,Sat Jan 12 11:59:21 PST 2019,,,,1747,0% (0/0),0% (0/0),0% (0/0),7100023,,
Anonymized,Anonymized,Survey on new programming language for battery-less embedded devices,"In this online study we will ask you to assess the usability of a new programming language for intermittently-powered embedded devices. These tiny devices are powered from ambient energy sources like solar energy, WiFi transmissions, or vibrations.","survey, programming language, embedded system, energy harvesting, low power, intermittent",$3.00,Mon Jan 07 07:16:39 PST 2019,50,Anonymized,1800,432000,Sat Jan 12 07:16:39 PST 2019,,,Anonymized,Anonymized,Submitted,Mon Jan 07 08:03:25 PST 2019,Mon Jan 07 08:15:33 PST 2019,Sat Jan 12 08:15:33 PST 2019,,,,728,0% (0/0),0% (0/0),0% (0/0),7100013,,
Anonymized,Anonymized,Survey on new programming language for battery-less embedded devices,"In this online study we will ask you to assess the usability of a new programming language for intermittently-powered embedded devices. These tiny devices are powered from ambient energy sources like solar energy, WiFi transmissions, or vibrations.","survey, programming language, embedded system, energy harvesting, low power, intermittent",$3.00,Mon Jan 07 07:16:39 PST 2019,50,Anonymized,1800,432000,Sat Jan 12 07:16:39 PST 2019,,,Anonymized,Anonymized,Submitted,Mon Jan 07 09:05:04 PST 2019,Mon Jan 07 09:26:42 PST 2019,Sat Jan 12 09:26:42 PST 2019,,,,1298,0% (0/0),0% (0/0),0% (0/0),7100020,,
Anonymized,Anonymized,Survey on new programming language for battery-less embedded devices,"In this online study we will ask you to assess the usability of a new programming language for intermittently-powered embedded devices. These tiny devices are powered from ambient energy sources like solar energy, WiFi transmissions, or vibrations.","survey, programming language, embedded system, energy harvesting, low power, intermittent",$3.00,Mon Jan 07 07:16:39 PST 2019,50,Anonymized,1800,432000,Sat Jan 12 07:16:39 PST 2019,,,Anonymized,Anonymized,Submitted,Mon Jan 07 14:45:11 PST 2019,Mon Jan 07 15:12:33 PST 2019,Sat Jan 12 15:12:33 PST 2019,,,,1642,0% (0/0),0% (0/0),0% (0/0),7100027,,
Anonymized,Anonymized,Survey on new programming language for battery-less embedded devices,"In this online study we will ask you to assess the usability of a new programming language for intermittently-powered embedded devices. These tiny devices are powered from ambient energy sources like solar energy, WiFi transmissions, or vibrations.","survey, programming language, embedded system, energy harvesting, low power, intermittent",$3.00,Mon Jan 07 07:16:39 PST 2019,50,Anonymized,1800,432000,Sat Jan 12 07:16:39 PST 2019,,,Anonymized,Anonymized,Submitted,Tue Jan 08 04:24:41 PST 2019,Tue Jan 08 04:46:19 PST 2019,Sun Jan 13 04:46:19 PST 2019,,,,1298,0% (0/0),0% (0/0),0% (0/0),8100034,,
Anonymized,Anonymized,Survey on new programming language for battery-less embedded devices,"In this online study we will ask you to assess the usability of a new programming language for intermittently-powered embedded devices. These tiny devices are powered from ambient energy sources like solar energy, WiFi transmissions, or vibrations.","survey, programming language, embedded system, energy harvesting, low power, intermittent",$3.00,Mon Jan 07 07:16:39 PST 2019,50,Anonymized,1800,432000,Sat Jan 12 07:16:39 PST 2019,,,Anonymized,Anonymized,Submitted,Mon Jan 07 08:42:32 PST 2019,Mon Jan 07 09:10:47 PST 2019,Sat Jan 12 09:10:47 PST 2019,,,,1695,0% (0/0),0% (0/0),0% (0/0),7100018,,
Anonymized,Anonymized,Survey on new programming language for battery-less embedded devices,"In this online study we will ask you to assess the usability of a new programming language for intermittently-powered embedded devices. These tiny devices are powered from ambient energy sources like solar energy, WiFi transmissions, or vibrations.","survey, programming language, embedded system, energy harvesting, low power, intermittent",$3.00,Mon Jan 07 07:16:39 PST 2019,50,Anonymized,1800,432000,Sat Jan 12 07:16:39 PST 2019,,,Anonymized,Anonymized,Submitted,Mon Jan 07 12:17:35 PST 2019,Mon Jan 07 12:44:23 PST 2019,Sat Jan 12 12:44:23 PST 2019,,,,1608,0% (0/0),0% (0/0),0% (0/0),7100026,,
Anonymized,Anonymized,Survey on new programming language for battery-less embedded devices,"In this online study we will ask you to assess the usability of a new programming language for intermittently-powered embedded devices. These tiny devices are powered from ambient energy sources like solar energy, WiFi transmissions, or vibrations.","survey, programming language, embedded system, energy harvesting, low power, intermittent",$3.00,Mon Jan 07 07:16:39 PST 2019,50,Anonymized,1800,432000,Sat Jan 12 07:16:39 PST 2019,,,Anonymized,Anonymized,Submitted,Mon Jan 07 07:18:17 PST 2019,Mon Jan 07 07:37:12 PST 2019,Sat Jan 12 07:37:12 PST 2019,,,,1135,0% (0/0),0% (0/0),0% (0/0),7100002,,
