Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,New Hidden Value,Time spend on explanation,"This programs swaps two values without the use of a third temporary variable, and is implemented using checkpoints (language 1). The swapping is implemented by three operations: X = X + Y then Y = X - Y and finally X = X - Y. That's it!The code depicted bellow contains one bug related to the swapping of the variables.Select the line containing this bug.",Write a correct statement for the line that you think contains a bug. Please use C syntax only (no sentences describing what is the error).,Time spent swap checkpoint,"A recap of the task based languageIn the task based language, a program needs to be initialized first, by including a header file and then by adding the following functions:ENTRY_TASK(name_of_first_task); //first task TASK(name_of_second_task); //second task ... TASK(name_of_Xth_task); //Xth task Then the programmer needs to define all variables as global ones by invokingSHARED(type1 variable 1, type2 variable 2, ...); Then, the programmer needs to define each task, in the following fashion:TASK(name_of_a_task) {    SET(y,3); //initialize y to y = 3    SET(x, GET(y)); //assign new value to x by using protected value y    return name_of_a_new_task_to_which_this_task_connects_to; }The Problem This programs swaps two values without the use of a third temporary variable, and is implemented using tasks (language 2). The swapping is implemented by three operations: X = X + Y then Y = X - Y and finally X = X - Y. That's it! The code depicted bellow contains one bug related to the swapping of the variables.Which line contains an error?  ",Write a correct statement for the line that you think contains a bug. Please use C syntax only (no sentences describing what is the error)..1,Time spent swap task,This program performs a Bubble sort and makes use of checkpoints (language 1). The goal of the program is to sort an array of integers.Quick recap on Bubble sort Source: https://en.wikipedia.org/wiki/Bubble_sort The code depicted bellow contains one bug related to the operation of the Bubble sort algorithm. Select the line containing this bug.,Write a correct statement for the line that you think contains the bug. Please use C syntax only (no sentences describing what is the error).,Time spent bubble sort checkpoint,"A recap of the task based languageIn the task based language, a program needs to be initialized first, by including a header file and then by adding the following functions:ENTRY_TASK(name_of_first_task); //first task TASK(name_of_second_task); //second task ... TASK(name_of_Xth_task); //Xth task Then the programmer needs to define all variables as global ones by invokingSHARED(type1 variable 1, type2 variable 2, ...); Then, the programmer needs to define each task, in the following fashion:TASK(name_of_a_task) {    SET(y,3); //initialize y to y = 3    SET(x, GET(y)); //assign new value to x by using protected value y    return name_of_a_new_task_to_which_this_task_connects_to; }The Problem Copy of This program performs a Bubble sort and makes use of tasks (language 2). The goal of the program is to sort an array of integers.Quick recap on Bubble sort Source: https://en.wikipedia.org/wiki/Bubble_sort The code depicted bellow contains one bug related to the operation of the Bubble sort algorithm.Select the line containing this bug.",Write a correct statement for the line that you think contains the bug. Please use C syntax only (no sentences describing what is the error)..1,Time spent bubble sort task,"This is a program that makes use of time to make decisions. Keeping track of time across power failures is hard, because the time values resets to zero after every power failure. Modern runtimes handle this by using capacitive timekeepers. For the below code, assume the runtime handles timekeeping. In this program, we want to read the temperature, and convert it to Fahrenheit if it is not expired. Otherwise we set the temperature to 32. The code depicted bellow contains one bug compared to the description above.Select the line containing this bug.",Write a correct statement for the line that you think contains a bug. Please use C syntax only (no sentences describing what is the error)..2,Time spent time based checkpoint,"A recap of the task based languageIn the task based language, a program needs to be initialized first, by including a header file and then by adding the following functions:ENTRY_TASK(name_of_first_task); //first task TASK(name_of_second_task); //second task ... TASK(name_of_Xth_task); //Xth task Then the programmer needs to define all variables as global ones by invokingSHARED(type1 variable 1, type2 variable 2, ...); Then, the programmer needs to define each task, in the following fashion:TASK(name_of_a_task) {    SET(y,3); //initialize y to y = 3    SET(x, GET(y)); //assign new value to x by using protected value y    return name_of_a_new_task_to_which_this_task_connects_to; }The ProblemThis is a program that makes use of time to make decisions. Keeping track of time across power failures is hard, because the time values resets to zero after every power failure. Modern runtimes handle this by using capacitive timekeepers. For the below code, assume the runtime handles timekeeping. In this program, we want to read the temperature, and convert it to Fahrenheit if it is not expired. Otherwise we set the temperature to 32.  The code depicted bellow contains one bug according to the description above.Select the line containing this bug.  ",Write a correct statement for the line that you think contains a bug. Please use C syntax only (no sentences describing what is the error)..3,Time spent time based task,"Language 1 (checkpoints):Knowing Language 1 and Language 2, I think programming with this language would be difficult.","Language 2 (tasks):Knowing Language 1 and Language 2, I think programming with this language would be difficult.","Language 1 (checkpoints):Knowing Language 1 and Language 2, I think programming with this language would be easy.","Language 2 (tasks):Knowing Language 1 and Language 2, I think programming with this language would be easy.","Language 1 (checkpoints):Knowing Language 1 and Language 2, I think the programming model is intuitive.","Language 2 (tasks):Knowing Language 1 and Language 2, I think the programming model is intuitive.","Language 1 (checkpoints):Knowing Language 1 and Language 2, I think the programming model is complete.","Language 2 (tasks):Knowing Language 1 and Language 2, I think the programming model is complete.","Language 1 (checkpoints):Knowing Language 1 and Language 2, I think this programming model is flexible.","Language 2 (tasks):Knowing Language 1 and Language 2, I think this programming model is flexible.","Language 1 (checkpoints):Knowing Language 1 and Language 2, I think this programming model is concise.","Language 2 (tasks):Knowing Language 1 and Language 2, I think this programming model is concise.","Language 1 (checkpoints):Knowing Language 1 and Language 2, I think this programming model could be used for a variety of  applications, like greenhouse monitoring, activity tracking, or signal processing.","Language 2 (tasks):Knowing Language 1 and Language 2, I think this programming model could be used for a variety of  applications, like greenhouse monitoring, activity tracking, or signal processing.","Language 1 (checkpoints):Knowing Language 1 and Language 2, I think the programming model; including syntax, keywords, and control flow, is easy to understand.","Language 2 (tasks):Knowing Language 1 and Language 2, I think the programming model; including syntax, keywords, and control flow, is easy to understand.","Language 1 (checkpoints):Knowing Language 1 and Language 2, If I had to implement the program that implements sense() -> compute() -> transmit() from scratch (in this programming model), I don't think it would take me very long.","Language 2 (tasks):Knowing Language 1 and Language 2, If I had to implement the program that implements sense() -> compute() -> transmit() from scratch (in this programming model), I don't think it would take me very long.","Language 1 (checkpoints):Knowing Language 1 and Language 2, If I had the choice, I would use this programming model for my own projects in Intermittently Powered Computing.","Language 2 (tasks):Knowing Language 1 and Language 2, If I had the choice, I would use this programming model for my own projects in Intermittently Powered Computing.","Language 1 (checkpoints):Knowing Language 1 and Language 2, If I had to teach a new student how to program Intermittently Powered Systems, I would use this language.","Language 2 (tasks):Knowing Language 1 and Language 2, If I had to teach a new student how to program Intermittently Powered Systems, I would use this language.","Language 1 (checkpoints):Knowing Language 1 and Language 2, I think this programming model is easier to grasp than Python, Ruby, or JavaScript.","Language 2 (tasks):Knowing Language 1 and Language 2, I think this programming model is easier to grasp than Python, Ruby, or JavaScript.","Language 1 (checkpoints):Knowing Language 1 and Language 2, I think this programming model is easier to grasp than JAVA / C# / C++.","Language 2 (tasks):Knowing Language 1 and Language 2, I think this programming model is easier to grasp than JAVA / C# / C++.","Language 1 (checkpoints):Knowing Language 1 and Language 2, I think this programming model is easier to grasp than ANSI C.","Language 2 (tasks):Knowing Language 1 and Language 2, I think this programming model is easier to grasp than ANSI C.","Language 1 (checkpoints):Knowing Language 1 and Language 2, It was easy to convey my intentions with this programming model.","Language 2 (tasks):Knowing Language 1 and Language 2, It was easy to convey my intentions with this programming model.",Time spend on difficulty,Formal electrical engineering education (university-level):How many years did you spend on any of these topics:,Formal computer science education (university-level):How many years did you spend on any of these topics:,Programming language experience:How many years did you spend on any of these topics:,Practical embedded systems design:How many years did you spend on any of these topics:,"C programming language:Please self-assess yourself on the following question: ""Compared to others with similar background, age and education my knowledge of [XYZ] is"", where [XYZ] is","Programming languages other than C:Please self-assess yourself on the following question: ""Compared to others with similar background, age and education my knowledge of [XYZ] is"", where [XYZ] is","Electronics:Please self-assess yourself on the following question: ""Compared to others with similar background, age and education my knowledge of [XYZ] is"", where [XYZ] is","Energy harvesting technologies:Please self-assess yourself on the following question: ""Compared to others with similar background, age and education my knowledge of [XYZ] is"", where [XYZ] is","Embedded systems:Please self-assess yourself on the following question: ""Compared to others with similar background, age and education my knowledge of [XYZ] is"", where [XYZ] is","Embedded systems powered by energy harvesting technologies:Please self-assess yourself on the following question: ""Compared to others with similar background, age and education my knowledge of [XYZ] is"", where [XYZ] is","Embedded systems powered intermittently:Please self-assess yourself on the following question: ""Compared to others with similar background, age and education my knowledge of [XYZ] is"", where [XYZ] is",My programming language of choice is,"I am a""",My age is,Time spend on skills,Confirmation code
23,2018-12-21 17:21:33,"Dec 21, 2018 5:56:04 pm",Complete,,,,English,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,25,257,Line 9,"The statement should be a = a - b, otherwise a will not be correct.",176,Line 25,"line should be a - b, not b - a",171,Line 16,"we want to increment i in the outer loop, not j.",106,Line 48,"After resetting j to 0, you do not want to increment j to 1 until you check it again.",723,Line 15,"We want to set the temperature to 32 if it is expired, not leave it alone.",183,Line 31,"We want to set c to 32 if the temperature is expired, not the original temperature reading.",149,Disagree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Neither agree or disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,178,2 years,2 years,more than 5 years,none,Above average,Slightly above average,Average,Slightly below average,Slightly above average,Average,Below average,Python,Man,21,80,
24,2018-12-21 18:09:07,"Dec 21, 2018 6:59:52 pm",Complete,,,,English,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,432,595,Line 9,a = a - b;,148,Line 25,"SET(a, GET(a) - GET(b));",382,Line 16,for(i = 0; i < size -1; i++),245,Line 28,return task_array_loop_incr;,256,Line 15,c = a;,184,Line 31,"SET(c, GET(a));",173,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Neither agree or disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neither agree or disagree,Strongly agree,Disagree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,409,1 year,4 years,more than 5 years,4 years,Above average,Above average,Slightly above average,Above average,Above average,Above average,Above average,C,Man,31,165,
26,2018-12-21 21:07:45,"Dec 21, 2018 9:35:40 pm",Complete,,,,English,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,3,5,Line 9,a = a - b;,95,Line 25,"SET(a,GET(a) - GET(b));",74,Line 16,for (i=0;i < size-1; i++),202,Line 48,return task_array_loop_incr,239,Line 17,c= temperature_reading * b + a;,536,Line 36,"SET(c, GET(temperature_reading) * GET(b) + GET(a));",272,Disagree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Strongly agree,Neither agree or disagree,Strongly agree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Disagree,Strongly agree,151,5 years,2 years,3 years,2 years,Average,Slightly above average,Slightly above average,Slightly below average,Slightly above average,Slightly below average,Slightly below average,C,Man,24,66,
28,2018-12-22 09:49:02,"Dec 22, 2018 11:21:47 am",Complete,,,,English,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,911,625,Line 9,a = a-b;,150,Line 25,"SET(a, GET(a)-GET(b))",294,Line 16,for (I=0; I< size-1; i++),215,Line 30,return task_array_loop_inner,1436,Line 15,c = a;,165,Line 31,"SET(c, GET(a));",759,Disagree,Disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Strongly agree,817,4 years,more than 5 years,4 years,4 years,Average,Slightly above average,Above average,Below average,Below average,Below average,Below average,Python,Man,48,156,
30,2018-12-24 07:24:16,"Dec 24, 2018 8:00:08 am",Complete,,,,English,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,18,175,Line 9,a=a-b,124,Line 25,"SET(a, GET(a) - GET(b))",237,Line 16,for(i = 0; i< size-1; i++),225,Line 55,"SET(arr[j], GET(are[j+1))",567,Line 15,c=a;,62,Line 31,"SET(c, GET(a))",333,Disagree,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,267,4 years,none,more than 5 years,more than 5 years,Above average,Slightly above average,Slightly above average,Below average,Above average,Below average,Below average,C,Man,25,108,
36,2018-12-24 08:32:22,"Dec 24, 2018 8:55:14 am",Complete,,,,English,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,3,3,Line 9,a = a - b;,72,Line 25,"SET(a, GET(a) - GET(b));",87,Line 16,for( i=0; i< size-1; i++) {,505,Line 48,return task_array_loop_inner;,165,Line 15,c = a;,36,Line 31,"SET(a, GET(temperature_reading));",206,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,156,3 years,1 year,4 years,3 years,Average,Slightly below average,Slightly above average,Average,Average,Average,Average,C,Man,24,86,
38,2018-12-24 09:10:15,"Dec 24, 2018 9:39:16 am",Complete,,,,English,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,8,4,Line 9,a = a - b;,72,Line 25,"SET(a, GET(a) - GET(b));",116,Line 16,for (i = 0; i < size-1; i++),133,Line 48,return task_array_loop_incr;,635,Line 15,c = a;,169,Line 36,"SET(c, GET(temperature_reading) * GET(b) + GET(a));",116,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly disagree,376,none,none,4 years,none,Average,Slightly above average,Below average,Below average,Below average,Below average,Below average,Python,Man,21,56,
43,2018-12-28 15:30:28,"Dec 28, 2018 3:57:08 pm",Complete,,,,English,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,129,143,Line 9,a = a - b;,212,Line 25,"SET(a, GET(a) - GET(b));",106,Line 8,tmp = x;,80,Line 1,;,211,Line 15,c = a;,129,Line 31,"SET(temperature_reading, GET(a));",253,Disagree,Strongly agree,Agree,Strongly disagree,Neither agree or disagree,Strongly disagree,Agree,Agree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree or disagree,Strongly disagree,Neither agree or disagree,Disagree,184,none,1 year,4 years,1 year,Slightly below average,Above average,Slightly above average,Average,Slightly above average,Average,Average,Java,Man,18,78,
44,2018-12-28 15:41:25,"Dec 28, 2018 4:05:32 pm",Complete,,,,English,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,34,212,Line 9,a = a - b;,209,Line 25,"SET(a, GET(a) - GET(b));",98,Line 16,for (i = 0; i < size - 1; i++),148,Line 47,"SET(j, -1);",218,Line 17,c = temperature_reading * b + a;,42,Line 36,"SET(c, GET(temperature_reading) * GET(b) + GET(a));",183,Neither agree or disagree,Agree,Neither agree or disagree,Disagree,Agree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Agree,Disagree,Disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,177,none,more than 5 years,more than 5 years,1 year,Slightly below average,Slightly above average,Average,Slightly below average,Average,Average,Slightly below average,Java,Man,27,94,
51,2018-12-28 18:38:55,"Dec 28, 2018 7:03:59 pm",Complete,,,,English,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,Anonymized,7,123,Line 9,a = a-b;,59,Line 25,"SET(a, GET(a) - GET(b)));",117,Line 16,for (i = 0; i < size-1;i++),137,Line 45,return task_array_loop_inner_incr;,554,Line 15,c = a;,167,Line 31,"SET(c, a);",56,Disagree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Disagree,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,166,none,2 years,5 years,none,Below average,Average,Slightly below average,Average,Slightly below average,Average,Average,Java,Man,20,94,
